paper,author,affiliation,affiliation_type
Method Cards for Prescriptive Machine-Learning Transparency,David Adkins,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Bilal Alsallakh,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Adeel Cheema,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Narine Kokhlikyan,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Emily McReynolds,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Pushkar Mishra,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Chavez Procope,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Jeremy Sawruk,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Erin Wang,Meta,Industry
Method Cards for Prescriptive Machine-Learning Transparency,Polina Zvyagina,Meta,Industry
Data Readiness Report,Shazia Afzal,IBM,Industry
Data Readiness Report,Rajmohan C,IBM,Industry
Data Readiness Report,Manish Kesarwani,IBM,Industry
Data Readiness Report,Sameep Mehta,IBM,Industry
Data Readiness Report,Hima Patel,IBM,Industry
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Raia ABU AHMAD,DFKI GmbH,Non-for-profit
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Jennifer D’SOUZA,Leibniz Information Centre for Science and Technology,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Matthäus ZLOCH,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Wolfgang OTTO,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Georg REHM,DFKI GmbH,Non-for-profit
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Allard OELEN,Leibniz Information Centre for Science and Technology,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Stefan DIETZE,Leibniz Institute for the Social Sciences,Academia
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,Sören AUER,Leibniz Information Centre for Science and Technology,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Mubashara Akhtar,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Omar Benjelloun,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Costanza Conforti,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pieter Gijsbers,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Joan Giner-Miguelez,Universitat Oberta de Catalunya,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Nitisha Jain,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Michael Kuchnik,Meta,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Quentin Lhoest,Hugging Face,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pierre Marcenac,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Manil Maskey,NASA,Government
Croissant: A Metadata Format for ML-Ready Datasets,Peter Mattson,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Luis Oala,Dotphoton,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Pierre Ruyssen,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Rajat Shinde,NASA IMPACT & UAH,Government
Croissant: A Metadata Format for ML-Ready Datasets,Elena Simperl,King’s College London,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Goeffry Thomas,Google,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Slava Tykhonov,DANS-KNAW,Government
Croissant: A Metadata Format for ML-Ready Datasets,Joaquin Vanschoren,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Jos van der Velde,TUE & OpenML,Academia
Croissant: A Metadata Format for ML-Ready Datasets,Steffen Vogler,Bayer,Industry
Croissant: A Metadata Format for ML-Ready Datasets,Carole-Jean Wu,Meta,Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,,University Hospitals Birmingham NHS Foundation Trust,Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Joseph E Alderman,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Joanne Palmer,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Elinor Laws,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Melissa D McCradden,"Department of Bioethics, The Hospital for Sick Children, Toronto, ON, Canada",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Johan Ordish,"Birmingham Health Partners Centre for Regulatory Science and Innovation, University of Birmingham, Birmingham, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Marzyeh Ghassemi,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Stephen R Pfohl,"Google Research, Mountain View, CA, USA",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Negar Rostamzadeh,"Google Research, Montreal, Quebec, Canada",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Heather Cole-Lewis,"Google, Mountain View, CA, USA",Industry
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Ben Glocker,"Department of Computing, Imperial College London, London, UK",Academia
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Melanie Calvert,"University Hospitals Birmingham NHS Foundation Trust, Birmingham, UK",Government
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,Tom J Pollard,"Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, MA, USA",Academia
