title,authors,year,prior_user_research,"If study was used, type of study used",,audiences,stakeholders_mentioned,stakeholders_involved,"What is the precise context of use of the tool as presented by authors
",tool_evaluation,degree_automation,tool_integration,tool_description
Data Statements | Tech Policy Lab,"McMillan-Major, Angelina; Bender, Emily M.",2023,No,"This paper is about Data Statements version 3

This is debatable. Data Statements version 2 was developed using a workshop with NLP practitioners. Data version 3 with addressess community dataset development, was not developed with communities per se.",,"dataset creators, dataset users",Yes,No,"linguistic contexts primarily but could be broader
""While first developed with language data types, data statements could be produced for a wide range of data types with adjustments to the schema to account for the unique characteristics of the specific data type.""",No,Manual,No,toolkit
The Dataset Nutrition Label: A Framework To Drive Higher Data Quality Standards,"Holland, Sarah; Hosny, Ahmed; Newman, Sarah; Joseph, Joshua; Chmielinski, Kasia",2018,Yes,"I am saying yes even though the study was not oritented towards understanding particular needs or practices in regards to documentation specifically. 

""We conducted an anonymous online survey (Figure 2), the results of which further lend credence to this problem. Although many (47%) respondents report conducting some form of data analysis prior to model development, most (74%) indicate that their organizations do not have explicit best practices for such analysis. Fifty-nine percent of respondents reported relying primarily on experience and self-directed learning (through online tutorials, blogs, academic papers, stack overflow, and online data competitions) to inform their data analysis methods and practices. This survey indicates that despite limited current standards, there is widespread interest to improve data analysis practices and make them accessible and standardize""

However, the design of the tool was guided by their own understanding of the lit 

""To inform the development of our prototype and concept, we surveyed the literature for labeling efforts. """,,dataset creators,Yes,Yes,"Their intention overall is to be context-independent: dataset analysis, preprocessing phase of model development, dataset selection, data collection, across backgrounds and domains. They recognize the challenges of being so context-independent (last quote). 

""The modules are stand-alone, allowing for greater flexibility as arrangements of different modules can be used for different types of datasets. This format also caters to a wide range of requirements and information available for a specific dataset. During label generation and subsequent updates, it also accommodates data specialists of different backgrounds and technical skill levels.""


""We hypothesize that the concept of a “nutrition label” for datasets is an effective means to provide a scalable and efficient tool to improve the process of dataset interrogation and analysis prior to and during model development. In supporting our hypothesis, we created a prototype, the Dataset Nutrition Label (the Label). Three goals drive this work. First, to inform and improve data specialists’ selection and interrogation of datasets and to prompt critical analysis. Consequently, data specialists are the primary intended audience. Second, to gain traction as a practical, readily deployable tool, we prioritize efficiency and flexibility. To that end, we do not suggest one specific approach to the Label, or charge one specific community with creating the Label. Rather, our prototype is modular, and the underlying framework is one that anyone can use. Lastly, we leverage probabilistic computing tools to surface potential corollaries, anomalies, and proxies. This is particularly beneficial because resolving these issues requires excess development time, and can lead to undesired correlations in trained model""

""The Label offers many benefits. Overall, it prompts critical questions and interrogation in the preprocessing phase of model development. It also expedites decision making, which saves time in the overall model development phase without sacrificing the quality or thoroughness of the data interrogation itself, perhaps encouraging better practices at scale. These benefits apply across the spectrum of data specialists’ skill and experience, but are particularly useful for those new to the field or less attuned to concerns around bias and algorithmic accountability""

""For data specialists, the Label will drive more robust data analysis practices, provide an efficient way to select the best dataset for their purposes, and increase the overall quality of AI models as a result of more robust training datasets and the ability to check for issues at the time of model development. For those building and publishing datasets, the Label creates an expectation of explanation, which will drive better data collection practices.""


""There are challenges to our approach. The extensive variety of datasets used to build models raises important questions around whether the Label can generalize across data and dataset type, size, composition, and in different domains, and furthermore, whether a data specialist or domain expert will need to be involved in the creation of a Label across these different datasets. This could arise in an instance where important semantic information is atypically labeled and would be challenging to interpret automatically, such as if the field for zip code in a dataset had a custom field for “geographic area.” A data specialist or domain expert may also be required when building a Label for sensitive or proprietary data, which may be accessible only to those who built the dataset and not accessible to the public.""
",No,Hybrid,No,framework
Towards accountability for machine learning datasets: Practices from software engineering and infrastructure,"Hutchinson, Ben; Smart, Andrew; Hanna, Alex; Denton, Emily; Greer, Christina; Kjartansson, Oddur; Barnes, Parker; Mitchell, Margaret",2021,No,,,dataset creators,Yes,No,"Artificial Ingeligence, 
Machine Learning datasets
Datasets lifecycle

uccessful im- plementation of our proposed frameworks depends critically on clearly formulated development processes, with discrete and in- terconnected stages. Owners charged with responsibility for each stage must work by consulting appropriate experts and produce detailed accounts of what happens during each stage, and why. The form of these accounts (requirements specifications, design docu- ments, testing reports, etc.) actively work to improve the quality, reliability and validity of the data itsel

Data poisoning may have oc- curred, labeling guidelines may have been misconstrued, or the phenomena in question may quite simply change. Affordances for manual edits and batch updates need to be in place (with appropri- ate access controls), and all such actions need to be scrupulously logged. Making these logs human-readable and searchable is an important step in dataset maintenance accountability.",No,Manual,No,framework
"Understanding machine learning practitioners' data documentation perceptions, needs, challenges, and desiderata","Heger, Amy K.; Marquis, Liz B.; Vorvoreanu, Mihaela; Wallach, Hanna; Wortman Vaughan, Jennifer",2022,,This is a n empirical study of existing dataset practices,,,No,No,,,,,
A generative benchmark creation framework for detecting common data table versions,"Fox, Daniel C.; Khatiwada, Aamod; Shraga, Roee",2024,No,,,dataset creators,No,No,"No precise context is described, there are only some broad suggestions such as 

""Enterprise and government organizations store massive numbers of datasets (tables) in centralized storage such as data lakes [9]."" and

""Data creators generally update existing datasets and upload them as new datasets to data repositories without proper documentation. Identifying such versions helps in data management, data governance, and making better decisions using data.""",No,Automated,No,framework
DataDoc analyzer: a tool for analyzing the documentation of scientific datasets,"Giner-Miguelez, Joan; Gómez, Abel; Cabot, Jordi",2023,No,,,"dataset creators, dataset users",No,No,"machine learning datasets

""empirical studies on the overall quality of the
datasets used in the ML field""

""creation of datasets documentation""",No,Automated,No,app
Datasheets for datasets,"Gebru, Timnit; Morgenstern, Jamie; Vecchione, Briana; Vaughan, Jennifer Wortman; Wallach, Hanna; III, Hal Daumé; Crawford, Kate",2021,No,"I am saying no to the previous queston because they did not conduct a user study per se but did include users and experts in iterating on the final product (the questions)

""we drew on our knowledge of dataset char- acteristics, unintentional misuse, unwanted societal biases, and other issues to produce an initial set of questions designed to elicit informa- tion about these topics. We then “test- ed” these questions by creating ex- ample datasheets for two widely used datasets: Labeled Faces in the Wild16 and Pang and Lee’s polarity dataset.22 We chose these datasets in large part because their creators provided ex- emplary documentation, allowing us to easily find the answers to many of the questions. While creating these example datasheets, we found gaps in the questions, as well as redundan- cies and lack of clarity. We therefore refined the questions and distributed them to product teams in two major U.S.-based technology companies, in some cases helping teams to create datasheets for their datasets and ob- serving where the questions did not achieve their intended objectives. Contemporaneously, we circulated an initial draft of this article to col- leagues through social media and on arXiv (draft posted Mar. 23, 2018). Via these channels we received extensive comments from dozens of research- ers, practitioners, and policy makers. We also worked with a team of lawyers to review the questions from a legal perspective. We incorporated this feedback to yield the questions and workflow pro- vided in the next section: We added and removed questions, refined the content of the questions, and reor- dered the questions to better match the key stages of the dataset life cycle. Based on our experiences with prod- uct teams, we reworded the questions to discourage yes/no answers, added a section on “Uses,” and deleted a sec- tion on “Legal and Ethical Consider- ations.” We found that product teams were more likely to answer questions about legal and ethical consider- ations if they were integrated into sec- tions about the relevant stages of the dataset lifecycle rather than grouped together. Finally, following feedback from the team of lawyers, we removed questions that explicitly asked about compliance with regulations, and in- troduced factual questions intended to elicit relevant information about compliance without requiring dataset creators to make legal judgments.""",,"dataset creators, dataset users",No,Yes,"The machine learning community

Research contexts: ""The following questions are primarily intended to encourage dataset creators to clearly articulate their reasons for creating the dataset and to promote transparency about funding interests. The latter may be particularly relevant for datasets created for research purposes.""

Industrial, team-based contexts: ""We therefore refined the questions and distributed them to product teams in two major U.S.-based technology companies, in some cases helping teams to create datasheets for their datasets and ob- serving where the questions did not achieve their intended objectives""

Diverse and quite flexible/varied contexts 

""Beyond these two key stakeholder groups, datasheets for datasets may be valuable to policy makers, con- sumer advocates, investigative jour- nalists, individuals whose data is included in datasets, and individu- als who may be impacted by models"", 

""Although we provide a set of ques- tions designed to elicit the informa- tion a datasheet for a dataset might contain, these questions are not in- tended to be prescriptive. Indeed, we expect that datasheets will neces- sarily vary depending on factors such as the domain or existing organiza- tional infrastructure and workflows. For example, some the questions are appropriate for academic research- ers publicly releasing datasets for the purpose of enabling future research, but less relevant for product""

""Contemporaneously, we circulated an initial draft of this article to col- leagues through social media and on arXiv (draft posted Mar. 23, 2018). Via these channels we received extensive comments from dozens of research- ers, practitioners, and policy makers"")",Yes,Manual,Yes,datasheet
CrowdWorkSheets: Accounting for individual and collective identities underlying crowdsourced dataset annotation,"Dı́az, Mark; Kivlichan, Ian; Rosen, Rachel; Baker, Dylan; Amironesei, Razvan; Prabhakaran, Vinodkumar; Denton, Emily",2022,No,,,dataset creators,No,No,"crowdsourced data annotation pipeline of machine learning datasets

""the challenges and decision points in- herent to crowdsourced annotation of machine learning datasets and propose a framework, CrowdWorkSheets, for reflecting on data- set annotation decisions, and documenting them in a standardized manner."" 

""CrowdWorkSheets, for dataset developers to fa- cilitate transparent documentation of key decisions points at var- ious stages of the data annotation pipeline: task formulation, se- lection of annotators, platform and infrastructure choices, dataset analysis and evaluation, and dataset release and maintenance.""",No,Manual,No,framework
DescribeML: a tool for describing machine learning datasets,"Giner-Miguelez, Joan; Gómez, Abel; Cabot, Jordi",2022,No,,,dataset creators,No,No,machine learning datasets,No,Hybrid,No,app
Goods: Organizing google's datasets,"Halevy, Alon; Korn, Flip; Noy, Natalya F.; Olston, Christopher; Polyzotis, Neoklis; Roy, Sudip; Whang, Steven Euijong",2016,No,"I am saying no because they do not priovide methodological details of how the study was conducted and are rather vague in describing the involvment of users in the process. However, they do mention something to this regard: 

""As we were developing Goods, we had several meetings with teams inside Google to discuss their pain points in dataset manage- ment. We realized very quickly the need for a holistic suite of data- management tools beyond search, including dashboards to monitor dataset health, automated dataset testing, and tools to understand differences among datasets.""",,"dataset creators, dataset users, dataset auditors",No,Yes,"It is very specific: enterprises with teams using diverse ways to produce datasets with no centralized system for storing and querying them. However the tool starts from the task, not from the context itself. 

""Enterprises increasingly rely on structured datasets to run their businesses. These datasets take a variety of forms, such as structured files, databases, spreadsheets, or even services that provide access to the data. The datasets often reside in di erent storage systems, may vary in their formats, may change every day. In this paper, we present Goods, a project to rethink how we organize structured datasets at scale, in a setting where teams use diverse and often idiosyncratic ways to produce the datasets and where there is no centralized system for storing and querying them.""

Another aspect of the context is that it can be distributed across geographical locations

""The engineers on the team may be distributed acros  the globe and they maintain several pipelines that add annotations to di erent text corpora. Each pipeline can have multiple stages that add annotations based on various techniques including phrase chunking, part-of-speech tagging, and co-reference resolution. Other teams can consume the datasets that the NLU team generates, and the NLU team’s pipelines may consume datasets from other teams.""",No,Hybrid,Yes,app
